relation	pattern_type	precision	support	priority	pattern_data
Cause-Effect(e1,e2)	BIGRAM	1.000	27	4010000	(('cause', 'of'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	25	4010000	(('trigger', 'by'),)
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	21	8010000	('into', 'migrate', 'nsubj', 'prep')
Cause-Effect(e1,e2)	BIGRAM	1.000	20	4010000	(('cause', 'the'),)
Cause-Effect(e1,e2)	PREP_STRUCT	1.000	20	8010000	('in', 'result', 'nsubj', 'prep')
Cause-Effect(e1,e2)	BIGRAM	1.000	18	4010000	(('that', 'cause'),)
Cause-Effect(e1,e2)	PREP_STRUCT	1.000	16	8010001	('of', 'one', 'none', 'prep')
Cause-Effect(e2,e1)	PREP_STRUCT	1.000	16	8010001	('by', 'trigger', 'none', 'agent')
Entity-Origin(e1,e2)	BIGRAM	1.000	15	4010001	(('arrive', 'from'),)
Entity-Origin(e1,e2)	PREP_STRUCT	1.000	15	8010000	('from', 'arrive', 'nsubj', 'prep')
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('be', 'hide'),)
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('hide', 'in'),)
Instrument-Agency(e1,e2)	BIGRAM	1.000	14	4010001	(('use', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	12	4010001	(('lead', 'to'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	12	4010001	(('release', 'into'),)
Content-Container(e2,e1)	PREP_STRUCT_LEXNAME	1.000	12	10010001	('of', 'full', 'none', 'prep', 'noun.artifact', 'noun.food')
Content-Container(e2,e1)	PREP_STRUCT_LEXNAME	1.000	12	10010001	('of', 'full', 'none', 'prep', 'noun.artifact', 'noun.substance')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	12	8010001	('to', 'send', 'nsubjpass', 'prep')
Product-Producer(e2,e1)	BIGRAM	1.000	11	4010000	(('create', 'the'),)
Content-Container(e1,e2)	PREP_STRUCT_LEXNAME	1.000	11	10010001	('in', 'contain', 'nsubjpass', 'prep', 'noun.substance', 'noun.artifact')
Content-Container(e1,e2)	PREP_STRUCT_LEXNAME	1.000	11	10010000	('in', 'be', 'nsubj', 'prep', 'noun.food', 'noun.artifact')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	11	8010001	('into', 'release', 'nsubjpass', 'prep')
Instrument-Agency(e1,e2)	PREP_STRUCT	1.000	11	8010000	('by', 'use', 'nsubjpass', 'agent')
Cause-Effect(e1,e2)	PREP_STRUCT	1.000	11	8010000	('of', 'cause', 'none', 'prep')
Entity-Destination(e1,e2)	PREP_ROLES	1.000	11	2010001	('to', 'nsubjpass', 'dative')
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('flow', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010000	(('be', 'add'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('into', 'this'),)
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	10	10010000	('by', 'cause', 'none', 'agent', 'noun.state', 'noun.state')
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	10	10010001	('by', 'cause', 'none', 'agent', 'noun.state', 'noun.act')
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	10	10010001	('by', 'cause', 'none', 'agent', 'noun.state', 'noun.phenomenon')
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	10	10010000	('by', 'cause', 'none', 'agent', 'noun.state', 'noun.animal')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	10	8010000	('into', 'stuff', 'dobj', 'prep')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	10	8010001	('into', 'release', 'dobj', 'prep')
Instrument-Agency(e2,e1)	LEMMA	1.000	9	2010001	('wield',)
Cause-Effect(e1,e2)	BIGRAM	1.000	9	4010001	(('have', 'cause'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	9	4010000	(('into', 'their'),)
Instrument-Agency(e2,e1)	SYNSET	1.000	9	2010000	('wield.v.01',)
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	9	10010001	('by', 'cause', 'none', 'agent', 'noun.event', 'noun.event')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	9	8010000	('into', 'flow', 'nsubj', 'prep')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	9	8010000	('to', 'send', 'dobj', 'prep')
Entity-Origin(e1,e2)	PREP_STRUCT	1.000	9	8010000	('out', 'pop', 'nsubj', 'prep')
Other	LEMMA	1.000	8	2010000	('denote',)
Entity-Destination(e1,e2)	LEMMA	1.000	8	2010000	('invest',)
Cause-Effect(e2,e1)	BIGRAM	1.000	8	4010000	(('be', 'trigger'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	8	4010001	(('emerge', 'from'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	8	4010000	(('common', 'cause'),)
Component-Whole(e2,e1)	BIGRAM	1.000	8	4010001	(('comprise', 'a'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	8	4010001	(('be', 'invest'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	8	4010000	(('invest', 'into'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	8	2010001	('release',)
Product-Producer(e2,e1)	DEP_VERB	1.000	8	4010001	('write', 'nsubj', 'dobj')
Other	SYNSET	1.000	8	2010001	('denote.v.01',)
Entity-Destination(e1,e2)	SYNSET	1.000	8	2010001	('invest.v.01',)
Entity-Origin(e1,e2)	HYPERNYM	1.000	8	6010001	('heavier-than-air_craft.n.01', 'bar.n.03')
Entity-Destination(e1,e2)	FRAME	1.000	8	2010000	('Besieging',)
Product-Producer(e1,e2)	PREP_STRUCT_LEXNAME	1.000	8	10010000	('by', 'write', 'none', 'agent', 'noun.communication', 'noun.person')
Cause-Effect(e2,e1)	PREP_STRUCT_LEXNAME	1.000	8	10010000	('by', 'cause', 'none', 'agent', 'noun.event', 'noun.act')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	8	8010001	('into', 'transport', 'dobj', 'prep')
Content-Container(e1,e2)	PREP_STRUCT	1.000	8	8010001	('in', 'hide', 'nsubjpass', 'prep')
Entity-Destination(e1,e2)	PREP_ROLES	1.000	8	2010000	('to', 'dobj', 'dative')
Entity-Destination(e1,e2)	LEMMA	1.000	7	2010001	('import',)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010000	(('have', 'migrate'),)
Component-Whole(e2,e1)	BIGRAM	1.000	7	4010000	(('have', 'two'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010000	(('be', 'import'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010001	(('import', 'into'),)
Component-Whole(e1,e2)	BIGRAM	1.000	7	4010000	(('good', 'part'),)
Message-Topic(e1,e2)	BIGRAM	1.000	7	4010000	(('reflect', 'on'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	7	2010000	('leak',)
Instrument-Agency(e2,e1)	DEP_VERB	1.000	7	4010000	('wield', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	SYNSET	1.000	7	2010001	('import.v.01',)
Product-Producer(e1,e2)	HYPERNYM	1.000	7	6010000	('publication.n.01', 'communicator.n.01')
Entity-Origin(e1,e2)	HYPERNYM	1.000	7	6010001	('public_transport.n.01', 'facility.n.01')
Entity-Destination(e1,e2)	FRAME	1.000	7	2010001	('Importance',)
Entity-Destination(e1,e2)	FRAME	1.000	7	2010000	('Importing',)
Entity-Destination(e1,e2)	PREP_STRUCT_LEXNAME	1.000	7	10010001	('into', 'pour', 'dobj', 'prep', 'noun.food', 'noun.artifact')
Content-Container(e1,e2)	PREP_STRUCT_LEXNAME	1.000	7	10010001	('in', 'lock', 'nsubjpass', 'prep', 'noun.artifact', 'noun.artifact')
Content-Container(e1,e2)	PREP_STRUCT_LEXNAME	1.000	7	10010001	('in', 'be', 'nsubj', 'prep', 'noun.animal', 'noun.artifact')
Instrument-Agency(e2,e1)	PREP_STRUCT	1.000	7	8010000	('with', 'kill', 'nsubj', 'prep')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	7	8010000	('into', 'dump', 'dobj', 'prep')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	7	8010001	('into', 'move', 'nsubjpass', 'prep')
Entity-Destination(e1,e2)	PREP_STRUCT	1.000	7	8010000	('into', 'drop', 'dobj', 'prep')
Entity-Destination(e1,e2)	LEMMA	1.000	6	2010000	('misplace',)
Entity-Destination(e1,e2)	LEMMA	1.000	6	2010001	('insert',)
Cause-Effect(e1,e2)	LEMMA	1.000	6	2010000	('respiratory',)
Cause-Effect(e1,e2)	BIGRAM	1.000	6	4010000	(('lead', 'cause'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	6	4010001	(('main', 'cause'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'push'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('push', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('into', 'new'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('misplace', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('fly', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('add', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'insert'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('be', 'give'),)
Message-Topic(e1,e2)	BIGRAM	1.000	6	4010000	(('discuss', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	6	4010001	(('apply', 'a'),)
