id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
1,The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.,The system as described above has its greatest application in an arrayed configuration of antenna elements.,configuration,elements,"Component-Whole(e2,e1)",Component-Whole,"e2,e1","Not a collection: there is structure here, organisation."
2,The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,The child was carefully wrapped and bound into the cradle by means of a cord.,child,cradle,Other,Other,none,
3,The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code.,The author of a keygen uses a disassembler to look at the raw assembly code.,author,disassembler,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
4,A misty <e1>ridge</e1> uprises from the <e2>surge</e2>.,A misty ridge uprises from the surge.,ridge,surge,Other,Other,none,
5,The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo.,The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.,student,association,"Member-Collection(e1,e2)",Member-Collection,"e1,e2",
6,This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver.,This is the sprawling complex that is Peru's largest producer of silver.,complex,producer,Other,Other,none,
7,The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.,inflammation,infection,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
8,<e1>People</e1> have been moving back into <e2>downtown</e2>.,People have been moving back into downtown.,People,downtown,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
9,The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces.,The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.,lawsonite,platinum crucible,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
10,The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial.,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.,solvent,flask,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
11,The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career.,The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.,essays,volume,"Member-Collection(e1,e2)",Member-Collection,"e1,e2",
12,Their <e1>composer</e1> has sunk into <e2>oblivion</e2>.,Their composer has sunk into oblivion.,composer,oblivion,Other,Other,none,violates b.1 and c.3
13,The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.,The Pulitzer Committee issues an official citation explaining the reasons for the award.,citation,reasons,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
14,The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,The burst has been caused by water hammer pressure.,burst,pressure,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
15,Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,Even commercial networks have moved into high-definition broadcast.,networks,high-definition broadcast,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
16,It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice.,It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.,call,bill,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
17,"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>.","Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.",virtuoso,instrument,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
18,"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.","The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.",factory,trays,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
