relation	pattern_type	precision	support	pattern_data
Cause-Effect(e1,e2)	BIGRAM	1.000	27	[('cause', 'of')]
Cause-Effect(e2,e1)	BIGRAM	1.000	25	[('trigger', 'by')]
Cause-Effect(e1,e2)	BIGRAM	1.000	20	[('cause', 'the')]
Cause-Effect(e1,e2)	BIGRAM	1.000	18	[('that', 'cause')]
Entity-Origin(e1,e2)	BIGRAM	1.000	15	[('arrive', 'from')]
Content-Container(e1,e2)	BIGRAM	1.000	14	[('be', 'hide')]
Content-Container(e1,e2)	BIGRAM	1.000	14	[('hide', 'in')]
Instrument-Agency(e1,e2)	BIGRAM	1.000	14	[('use', 'by')]
Entity-Destination(e1,e2)	BIGRAM	1.000	12	[('release', 'into')]
Cause-Effect(e1,e2)	BIGRAM	1.000	12	[('lead', 'to')]
Product-Producer(e2,e1)	BIGRAM	1.000	11	[('create', 'the')]
Entity-Destination(e1,e2)	BIGRAM	1.000	10	[('flow', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	10	[('be', 'add')]
Entity-Destination(e1,e2)	BIGRAM	1.000	10	[('into', 'this')]
Instrument-Agency(e2,e1)	LEMMA	1.000	9	['wield']
Entity-Destination(e1,e2)	BIGRAM	1.000	9	[('into', 'their')]
Cause-Effect(e1,e2)	BIGRAM	1.000	9	[('have', 'cause')]
Component-Whole(e2,e1)	BIGRAM	1.000	8	[('comprise', 'a')]
Other	LEMMA	1.000	8	['denote']
Cause-Effect(e2,e1)	BIGRAM	1.000	8	[('be', 'trigger')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	8	['release']
Entity-Destination(e1,e2)	LEMMA	1.000	8	['invest']
Entity-Destination(e1,e2)	BIGRAM	1.000	8	[('be', 'invest')]
Entity-Destination(e1,e2)	BIGRAM	1.000	8	[('invest', 'into')]
Entity-Origin(e1,e2)	BIGRAM	1.000	8	[('emerge', 'from')]
Cause-Effect(e1,e2)	BIGRAM	1.000	8	[('common', 'cause')]
Product-Producer(e2,e1)	DEP_VERB	1.000	8	['write', 'nsubj', 'dobj']
Component-Whole(e2,e1)	BIGRAM	1.000	7	[('have', 'two')]
Entity-Destination(e1,e2)	BIGRAM	1.000	7	[('have', 'migrate')]
Entity-Destination(e1,e2)	LEMMA	1.000	7	['import']
Entity-Destination(e1,e2)	BIGRAM	1.000	7	[('be', 'import')]
Entity-Destination(e1,e2)	BIGRAM	1.000	7	[('import', 'into')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	7	['leak']
