id,text,text_with_markers,relation_label,relation_type,entity1_text,entity2_text,label_id,num_tokens
1939,Even travel agents are turning to telepresence for clients.,Even [E1]travel agents[/E1] are turning to [E2]telepresence[/E2] for clients.,"Instrument-Agency(e2,e1)",Instrument-Agency,travel agents,telepresence,11,10
6614,"The health medical insurance coverage for allergy kits, abortificants, and prescription drugs produced from blood or blood products is discussed.","The health medical insurance coverage for allergy kits, abortificants, and prescription [E1]drugs[/E1] produced from [E2]blood[/E2] or blood products is discussed.","Entity-Origin(e1,e2)",Entity-Origin,drugs,blood,8,23
1094,"Vietnam's response on the toll caused by the earthquake in Sichuan, China.","Vietnam's response on the [E1]toll[/E1] caused by the [E2]earthquake[/E2] in Sichuan, China.","Cause-Effect(e2,e1)",Cause-Effect,toll,earthquake,1,15
2128,My mother bakes the puddings in a lidded dish which results in no skin and little caramelisation.,My [E1]mother[/E1] bakes the puddings in a lidded [E2]dish[/E2] which results in no skin and little caramelisation.,"Instrument-Agency(e2,e1)",Instrument-Agency,mother,dish,11,18
3305,"A sailing boat has the large mainsail, a smaller foresail and perhaps a large balloon-like spinnaker at the very front.","A sailing [E1]boat[/E1] has the large [E2]mainsail[/E2], a smaller foresail and perhaps a large balloon-like spinnaker at the very front.","Component-Whole(e2,e1)",Component-Whole,boat,mainsail,3,24
5039,A client copes with replica failures using a simple retransmission mechanism.,A [E1]client[/E1] copes with replica failures using a simple retransmission [E2]mechanism[/E2].,"Instrument-Agency(e2,e1)",Instrument-Agency,client,mechanism,11,12
7908,The mesopause separates the mesosphere from the thermosphere.,The mesopause separates the [E1]mesosphere[/E1] from the [E2]thermosphere[/E2].,Other,Other,mesosphere,thermosphere,16,9
6891,This unwillingness to fund on a secured basis placed stress on the liquidity of the firm.,This unwillingness to fund on a secured basis placed stress on the [E1]liquidity[/E1] of the [E2]firm[/E2].,Other,Other,liquidity,firm,16,17
689,"The local group, which has over 5000 members, is part of a national association of active and retired law enforcement officers.","The local [E1]group[/E1], which has over 5000 members, is part of a national [E2]association[/E2] of active and retired law enforcement officers.","Component-Whole(e1,e2)",Component-Whole,group,association,2,24
803,The famous poet moved into a medical center.,The famous [E1]poet[/E1] moved into a medical [E2]center[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,poet,center,6,9
6662,Another period of silence was broken by one of the men who told a joke.,Another period of silence was broken by one of the [E1]men[/E1] who told a [E2]joke[/E2].,"Product-Producer(e2,e1)",Product-Producer,men,joke,18,16
6634,It was in the lining of this jacket that he had managed to secrete the valuables of several villagers.,It was in the [E1]lining[/E1] of this [E2]jacket[/E2] that he had managed to secrete the valuables of several villagers.,"Component-Whole(e1,e2)",Component-Whole,lining,jacket,2,20
2117,"In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the smoke caused by the burning of jungle and forest for coca bush cultivation.","In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the [E1]smoke[/E1] caused by the [E2]burning[/E2] of jungle and forest for coca bush cultivation.","Cause-Effect(e2,e1)",Cause-Effect,smoke,burning,1,40
5855,"Jazz represented a break from Western musical traditions, where the composer wrote a piece of music on paper and the musicians then tried their best to play exactly what was in the score.","Jazz represented a break from Western musical traditions, where the [E1]composer[/E1] wrote a [E2]piece[/E2] of music on paper and the musicians then tried their best to play exactly what was in the score.","Product-Producer(e2,e1)",Product-Producer,composer,piece,18,35
7193,"From the diagrams of DaVinci to the latest photographic marvels retrieved from the remotest galactic outback, visualization of research has a long and literally illustrious history.","From the diagrams of DaVinci to the latest photographic [E1]marvels[/E1] retrieved from the remotest galactic [E2]outback[/E2], visualization of research has a long and literally illustrious history.","Entity-Origin(e1,e2)",Entity-Origin,marvels,outback,8,28
4686,Recently a National Geographic video showed a pod of seals teasing a group of iguanas.,Recently a National Geographic video showed a [E1]pod[/E1] of [E2]seals[/E2] teasing a group of iguanas.,"Member-Collection(e2,e1)",Member-Collection,pod,seals,13,16
4896,Your Republican tax cut fetish has drained government surpluses into unprecedented deficits.,Your Republican tax cut fetish has drained government [E1]surpluses[/E1] into unprecedented [E2]deficits[/E2].,Other,Other,surpluses,deficits,16,13
5165,This module is part of the Virtual Geography department project and has been prepared for the Physical Geography Working Group of the Project.,This [E1]module[/E1] is part of the Virtual Geography department [E2]project[/E2] and has been prepared for the Physical Geography Working Group of the Project.,"Component-Whole(e1,e2)",Component-Whole,module,project,2,24
2433,"It is a shady retreat, close to a chain of shallow ponds near the lake shore.","It is a shady retreat, close to a [E1]chain[/E1] of shallow [E2]ponds[/E2] near the lake shore.","Member-Collection(e2,e1)",Member-Collection,chain,ponds,13,18
7814,"The voltage swing obtainable across the load is greater than the output voltage swing obtainable from the amplifier alone, thus the efficiency of the amplifier system and power handling capacity of the system are improved.","The voltage [E1]swing[/E1] obtainable across the load is greater than the output voltage swing obtainable from the [E2]amplifier[/E2] alone, thus the efficiency of the amplifier system and power handling capacity of the system are improved.","Cause-Effect(e2,e1)",Cause-Effect,swing,amplifier,1,37
2222,"The inner strands of the mop are twisted very little, while the outer strands have farther to go and thus receive more of the torque, or twisting force.","The inner [E1]strands[/E1] of the [E2]mop[/E2] are twisted very little, while the outer strands have farther to go and thus receive more of the torque, or twisting force.","Component-Whole(e1,e2)",Component-Whole,strands,mop,2,31
3061,One of her arguments addresses the very real threat that the women's struggle is being bypassed as the new social movement succeeds.,One of her [E1]arguments[/E1] addresses the very real [E2]threat[/E2] that the women's struggle is being bypassed as the new social movement succeeds.,"Message-Topic(e1,e2)",Message-Topic,arguments,threat,14,24
2574,A letter was delivered to my office in the morning.,A [E1]letter[/E1] was delivered to my [E2]office[/E2] in the morning.,"Entity-Destination(e1,e2)",Entity-Destination,letter,office,6,11
950,My flight arrived at the usual gate.,My [E1]flight[/E1] arrived at the usual [E2]gate[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,flight,gate,6,8
5161,"She saved up to 80% on ring binders, lever arch files, box files, folders, manilla wallets, suspension files, plastic wallets and plastic pockets.","She saved up to 80% on [E1]ring[/E1] [E2]binders[/E2], lever arch files, box files, folders, manilla wallets, suspension files, plastic wallets and plastic pockets.","Component-Whole(e1,e2)",Component-Whole,ring,binders,2,31
7340,"The typical flu infection starts with fever, muscular pains, headache and general fatigue.","The typical flu [E1]infection[/E1] starts with [E2]fever[/E2], muscular pains, headache and general fatigue.",Other,Other,infection,fever,16,16
2754,Hepatitis B is a potentially life-threatening liver infection caused by the hepatitis B virus.,Hepatitis B is a potentially life-threatening liver [E1]infection[/E1] caused by the hepatitis B [E2]virus[/E2].,"Cause-Effect(e2,e1)",Cause-Effect,infection,virus,1,17
354,"This has made it much richer, rather like fried bread and altogether different from the crisp rectangles produced by the modern cook.","This has made it much richer, rather like fried bread and altogether different from the crisp [E1]rectangles[/E1] produced by the modern [E2]cook[/E2].","Product-Producer(e1,e2)",Product-Producer,rectangles,cook,17,24
3391,"Also, every employee who is a participant in the trust automatically has a beneficial interest in the ownership of the agency.","Also, every [E1]employee[/E1] who is a participant in the [E2]trust[/E2] automatically has a beneficial interest in the ownership of the agency.",Other,Other,employee,trust,16,23
2335,The nurse wields the scalpel.,The [E1]nurse[/E1] wields the [E2]scalpel[/E2].,"Instrument-Agency(e2,e1)",Instrument-Agency,nurse,scalpel,11,6
6548,"April, 1903 saw the first issue of the Delta Chi Quarterly published for a fraternity of fourteen chapters and fewer than 3000 alumni.","April, 1903 saw the first issue of the Delta Chi Quarterly published for a [E1]fraternity[/E1] of fourteen [E2]chapters[/E2] and fewer than 3000 alumni.","Member-Collection(e2,e1)",Member-Collection,fraternity,chapters,13,25
5053,The revolution of Ayutla represented a broad coalition of forces.,The revolution of Ayutla represented a broad [E1]coalition[/E1] of [E2]forces[/E2].,"Member-Collection(e2,e1)",Member-Collection,coalition,forces,13,11
7736,"Among the additional contents of the box were a controller, an audio/video connector, a plug, and quite a few manuals and booklets.","Among the additional contents of the [E1]box[/E1] were a [E2]controller[/E2], an audio/video connector, a plug, and quite a few manuals and booklets.","Content-Container(e2,e1)",Content-Container,box,controller,5,28
592,"The corpse of a murderer was dangling from the noose, twisting in the wind.","The [E1]corpse[/E1] of a murderer was dangling from the [E2]noose[/E2], twisting in the wind.",Other,Other,corpse,noose,16,16
2634,"A girl with a mitochondrial disorder who developed a neurodegenerative disorder with ""features of autism"" after getting a fever from vaccines.","A girl with a mitochondrial disorder who developed a neurodegenerative disorder with ""features of autism"" after getting a [E1]fever[/E1] from [E2]vaccines[/E2].","Cause-Effect(e2,e1)",Cause-Effect,fever,vaccines,1,24
4102,This page is based on the well working recipe from the pizza dough page.,This [E2]page[/E2] is based on the well working [E1]recipe[/E1] from the pizza dough page.,"Entity-Origin(e1,e2)",Entity-Origin,recipe,page,8,15
