relation	pattern_type	precision	support	priority	pattern_data
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('by', 'your'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'wild'),)
Component-Whole(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'conference'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('an', 'empty'),)
Component-Whole(e2,e1)	DEP_VERB	1.000	2	4010001	('move', 'nsubj', 'dobj')
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('spring', 'from'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	8	4010001	(('emerge', 'from'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'dual'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('into', 'its'),)
Other	BIGRAM	1.000	4	4010001	(('be', 'denote'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('the', 'massive'),)
Other	BIGRAM	1.000	3	4010001	(('be', 'indicate'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'deep'),)
Other	BIGRAM	1.000	4	4010001	(('into', 'deep'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('already', 'be'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('process', 'the'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('his', 'native'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('to', 'use'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	8	4010001	(('be', 'invest'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	5	4010001	('consider', 'nsubj', 'dobj')
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('choose', 'the'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('depict', 'nsubj', 'dobj')
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('an', 'all'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('rear', 'portion'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('cause', 'acne'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('remove', 'into'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('create', 'dish'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('with', 'colored'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'recent'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('criticize', 'nsubj', 'dobj')
Component-Whole(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'master'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010001	(('imagination', 'of'),)
Message-Topic(e2,e1)	BIGRAM	1.000	4	4010001	(('be', 'document'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('pimple', 'be'),)
Product-Producer(e2,e1)	DEP_VERB	1.000	8	4010001	('write', 'nsubj', 'dobj')
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('comment', 'on'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('manufacture', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'push'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('remind', 'they'),)
Other	BIGRAM	1.000	2	4010001	(('this', 'article'),)
Other	BIGRAM	1.000	2	4010001	(('be', 'assist'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('theme', 'of'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	12	4010001	(('lead', 'to'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	9	4010001	(('have', 'cause'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'young'),)
Other	BIGRAM	1.000	2	4010001	(('the', 'criminal'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('inject', 'into'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('wield', 'a'),)
Other	BIGRAM	1.000	2	4010001	(('a', 'miracle'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('flow', 'into'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('sweep', 'the'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('survey', 'nsubj', 'dobj')
Content-Container(e1,e2)	BIGRAM	1.000	2	4010001	(('cia', "'s"),)
Other	BIGRAM	1.000	3	4010001	(('indicate', 'with'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('hand', 'over'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('point', 'nsubj', 'dobj')
Entity-Origin(e2,e1)	BIGRAM	1.000	2	4010001	(('main', 'ingredient'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	6	4010001	(('apply', 'a'),)
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('be', 'hide'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('break', 'away'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('with', 'small'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('be', 'explore'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('the', 'h1n1'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('leave', 'her'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('elude', 'from'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('picture', 'use'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('instal', 'in'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'form'),)
Member-Collection(e1,e2)	BIGRAM	1.000	2	4010001	(('join', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('wbai', 'live'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('explain', 'nsubj', 'dobj')
Entity-Origin(e1,e2)	BIGRAM	1.000	15	4010001	(('arrive', 'from'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('during', 'one'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('illustrate', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('misplace', 'into'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'precentral'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('from', 'alcohol'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'global'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('her', 'own'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('document', 'nsubj', 'dobj')
Other	BIGRAM	1.000	2	4010001	(('of', 'fellow'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('country', 'be'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('pertain', 'to'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('award', 'to'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('blast', 'the'),)
Other	DEP_VERB	1.000	3	4010001	('denote', 'nsubj', 'dobj')
Other	BIGRAM	1.000	2	4010001	(('be', 'cut'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('the', 'grow'),)
Component-Whole(e2,e1)	BIGRAM	1.000	5	4010001	(('include', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('account', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('picture', 'with'),)
Product-Producer(e2,e1)	BIGRAM	1.000	4	4010001	(('build', 'a'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('be', 'feature'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('clear', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(("'s", 'output'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('evaporate', 'from'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('stomach', 'cause'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('point', 'that'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'flow'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'blood'),)
