relation	pattern_type	precision	support	priority	pattern_data
Cause-Effect(e1,e2)	BIGRAM	1.000	27	4010000	(('cause', 'of'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	25	4010000	(('trigger', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	20	4010000	(('cause', 'the'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	18	4010000	(('that', 'cause'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	15	4010001	(('arrive', 'from'),)
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('be', 'hide'),)
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('hide', 'in'),)
Instrument-Agency(e1,e2)	BIGRAM	1.000	14	4010001	(('use', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	12	4010001	(('lead', 'to'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	12	4010001	(('release', 'into'),)
Product-Producer(e2,e1)	BIGRAM	1.000	11	4010000	(('create', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('flow', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010000	(('be', 'add'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('into', 'this'),)
Instrument-Agency(e2,e1)	LEMMA	1.000	9	2010001	('wield',)
Cause-Effect(e1,e2)	BIGRAM	1.000	9	4010001	(('have', 'cause'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	9	4010000	(('into', 'their'),)
Other	LEMMA	1.000	8	2010000	('denote',)
Entity-Destination(e1,e2)	LEMMA	1.000	8	2010000	('invest',)
Cause-Effect(e2,e1)	BIGRAM	1.000	8	4010000	(('be', 'trigger'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	8	4010001	(('emerge', 'from'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	8	4010000	(('common', 'cause'),)
Component-Whole(e2,e1)	BIGRAM	1.000	8	4010001	(('comprise', 'a'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	8	4010001	(('be', 'invest'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	8	4010000	(('invest', 'into'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	8	2010001	('release',)
Product-Producer(e2,e1)	DEP_VERB	1.000	8	4010001	('write', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	LEMMA	1.000	7	2010001	('import',)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010000	(('have', 'migrate'),)
Component-Whole(e2,e1)	BIGRAM	1.000	7	4010000	(('have', 'two'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010000	(('be', 'import'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010001	(('import', 'into'),)
Component-Whole(e1,e2)	BIGRAM	1.000	7	4010000	(('good', 'part'),)
Message-Topic(e1,e2)	BIGRAM	1.000	7	4010000	(('reflect', 'on'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	7	2010000	('leak',)
Instrument-Agency(e2,e1)	DEP_VERB	1.000	7	4010000	('wield', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	LEMMA	1.000	6	2010000	('misplace',)
Entity-Destination(e1,e2)	LEMMA	1.000	6	2010001	('insert',)
Cause-Effect(e1,e2)	LEMMA	1.000	6	2010000	('respiratory',)
Cause-Effect(e1,e2)	BIGRAM	1.000	6	4010000	(('lead', 'cause'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	6	4010001	(('main', 'cause'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'push'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('push', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('into', 'new'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('misplace', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('fly', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('add', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'insert'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010000	(('be', 'give'),)
Message-Topic(e1,e2)	BIGRAM	1.000	6	4010000	(('discuss', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	6	4010001	(('apply', 'a'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	6	4010001	(('from', 'previous'),)
Message-Topic(e1,e2)	BIGRAM	1.000	6	4010000	(('be', 'about'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	2010001	('transport',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	2010000	('blow',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	2010000	('import',)
Other	BEFORE_E1	1.000	6	2010001	('tree',)
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('describe', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('explore', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('explain', 'nsubj', 'dobj')
Entity-Origin(e1,e2)	LEMMA	1.000	5	2010000	('hail',)
Message-Topic(e1,e2)	LEMMA	1.000	5	2010000	('devote',)
Entity-Origin(e1,e2)	LEMMA	1.000	5	2010000	('evaporate',)
Other	LEMMA	1.000	5	2010001	('participant',)
Product-Producer(e1,e2)	LEMMA	1.000	5	2010000	('pen',)
Other	LEMMA	1.000	5	2010000	('participate',)
Entity-Origin(e1,e2)	BIGRAM	1.000	5	4010000	(('hail', 'from'),)
Product-Producer(e2,e1)	BIGRAM	1.000	5	4010001	(('have', 'complete'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	4010001	(('the', 'victim'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	4010000	(('victim', 'with'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010000	(('the', 'deep'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('be', 'misplace'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	5	4010000	(('the', 'cause'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	5	4010001	(('escape', 'from'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010000	(('be', 'inject'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('inject', 'into'),)
Other	BIGRAM	1.000	5	4010001	(('participant', 'in'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010000	(('add', 'to'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('hand', 'over'),)
Message-Topic(e1,e2)	BIGRAM	1.000	5	4010000	(('give', 'an'),)
Product-Producer(e2,e1)	BIGRAM	1.000	5	4010001	(('issue', 'a'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	4010001	(('wield', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('remove', 'into'),)
Component-Whole(e2,e1)	BIGRAM	1.000	5	4010001	(('include', 'the'),)
Other	BIGRAM	1.000	5	4010000	(('participate', 'in'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	5	2010000	('donate',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	5	2010000	('spread',)
Entity-Origin(e1,e2)	AFTER_E2	1.000	5	2010000	('ago',)
Product-Producer(e2,e1)	DEP_VERB	1.000	5	4010000	('issue', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	5	4010001	('consider', 'nsubj', 'dobj')
Product-Producer(e2,e1)	DEP_VERB	1.000	5	4010000	('manufacture', 'nsubj', 'dobj')
Other	LEMMA	1.000	4	2010001	('pertinent',)
Entity-Destination(e1,e2)	LEMMA	1.000	4	2010000	('export',)
Cause-Effect(e1,e2)	LEMMA	1.000	4	2010000	('acne',)
Entity-Destination(e1,e2)	LEMMA	1.000	4	2010001	('donate',)
Message-Topic(e2,e1)	LEMMA	1.000	4	2010001	('theme',)
Message-Topic(e1,e2)	LEMMA	1.000	4	2010001	('swirl',)
Entity-Origin(e1,e2)	LEMMA	1.000	4	2010000	('abscond',)
Entity-Destination(e1,e2)	LEMMA	1.000	4	2010000	('pour',)
Message-Topic(e1,e2)	LEMMA	1.000	4	2010000	('reveal',)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010000	(('have', 'to'),)
Other	BIGRAM	1.000	4	4010001	(('be', 'denote'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010000	(('be', 'export'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010000	(('export', 'to'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	4	4010000	(('kill', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	4	4010001	(('build', 'the'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('evaporate', 'from'),)
Other	BIGRAM	1.000	4	4010000	(('a', 'great'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010000	(('carry', 'into'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('center', 'around'),)
Product-Producer(e2,e1)	BIGRAM	1.000	4	4010000	(('invent', 'a'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('directly', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('be', 'donate'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010000	(('donate', 'to'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010000	(('off', 'from'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('depict', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010000	(('speak', 'about'),)
